Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,Status,rol
2018-6-14,Fradique Coutinho,-23.5661,-46.6841,36585,29,59,29,28,23,21,10,25,NORMAL,10244
2018-6-16,Fradique Coutinho,-23.5661,-46.6841,35418,14,42,19,24,15,15,43,14,NORMAL,10246
2018-6-19,Fradique Coutinho,-23.5661,-46.6841,33376,79,24,65,18,43,6,29,43,REABASTECER,10249
2018-6-25,Fradique Coutinho,-23.5661,-46.6841,35278,22,54,30,41,22,24,5,24,REABASTECER,10255
2018-6-28,Fradique Coutinho,-23.5661,-46.6841,33603,86,38,10,32,13,20,35,6,REABASTECER,10258
2018-7-15,Fradique Coutinho,-23.5661,-46.6841,36879,10,65,33,25,28,11,6,21,NORMAL,10275
2018-7-22,Fradique Coutinho,-23.5661,-46.6841,35507,25,32,52,6,43,33,19,36,NORMAL,10282
2018-7-23,Fradique Coutinho,-23.5661,-46.6841,35325,15,25,46,43,37,32,13,32,NORMAL,10283
2018-7-28,Fradique Coutinho,-23.5661,-46.6841,36842,61,65,15,22,14,16,38,11,NORMAL,10288
2018-7-30,Fradique Coutinho,-23.5661,-46.6841,33420,41,56,65,16,5,9,30,6,REABASTECER,10290
2018-8-6,Fradique Coutinho,-23.5661,-46.6841,36965,70,17,24,33,19,34,6,25,NORMAL,10296
2018-8-29,Fradique Coutinho,-23.5661,-46.6841,35399,18,18,60,17,16,31,39,20,NORMAL,10319
2018-9-3,Fradique Coutinho,-23.5661,-46.6841,35450,71,56,34,5,43,23,22,3,NORMAL,10323
2018-9-5,Fradique Coutinho,-23.5661,-46.6841,33750,53,39,19,39,37,13,13,39,NORMAL,10325
2018-9-17,Fradique Coutinho,-23.5661,-46.6841,36203,23,45,2,7,33,31,3,41,NORMAL,10337
2018-9-19,Fradique Coutinho,-23.5661,-46.6841,34508,86,27,55,43,24,23,37,33,NORMAL,10339
2018-10-16,Fradique Coutinho,-23.5661,-46.6841,35109,86,6,65,6,32,13,23,15,REABASTECER,10366
2018-10-30,Fradique Coutinho,-23.5661,-46.6841,36536,37,65,32,11,23,17,4,10,REABASTECER,10380
2018-11-2,Fradique Coutinho,-23.5661,-46.6841,33120,23,56,23,43,17,14,41,43,NORMAL,10382
2018-11-14,Fradique Coutinho,-23.5661,-46.6841,35145,78,51,65,41,17,22,43,41,NORMAL,10394
2018-11-27,Fradique Coutinho,-23.5661,-46.6841,33865,33,24,19,43,43,32,29,25,NORMAL,10407
2018-12-25,Fradique Coutinho,-23.5661,-46.6841,35224,86,27,30,19,29,13,5,33,REABASTECER,10435
2019-1-2,Fradique Coutinho,-23.5661,-46.6841,33471,21,53,49,38,5,27,18,9,NORMAL,10442
2019-1-13,Fradique Coutinho,-23.5661,-46.6841,35940,76,65,30,5,7,33,18,8,REABASTECER,10453
2019-2-5,Fradique Coutinho,-23.5661,-46.6841,35131,21,6,20,16,7,11,22,38,NORMAL,10475
2019-2-7,Fradique Coutinho,-23.5661,-46.6841,33222,86,61,3,14,43,6,14,31,NORMAL,10477
2019-2-24,Fradique Coutinho,-23.5661,-46.6841,34253,86,18,6,37,12,37,27,13,NORMAL,10494
2019-2-29,Fradique Coutinho,-23.5661,-46.6841,34143,39,50,33,21,36,25,5,37,REABASTECER,10499
2019-3-21,Fradique Coutinho,-23.5661,-46.6841,33536,66,54,12,38,40,18,34,41,NORMAL,10521
2019-3-24,Fradique Coutinho,-23.5661,-46.6841,33058,44,29,60,30,32,9,24,29,NORMAL,10524
2019-4-14,Fradique Coutinho,-23.5661,-46.6841,36070,16,55,5,25,40,43,30,38,REABASTECER,10544
2019-4-22,Fradique Coutinho,-23.5661,-46.6841,33516,28,15,20,43,1,20,43,43,REABASTECER,10552
2019-5-1,Fradique Coutinho,-23.5661,-46.6841,36543,28,35,32,20,10,25,9,15,NORMAL,10561
2019-5-6,Fradique Coutinho,-23.5661,-46.6841,34762,68,7,65,9,32,10,28,37,NORMAL,10566
2019-6-5,Fradique Coutinho,-23.5661,-46.6841,35718,48,30,58,37,43,30,43,17,NORMAL,10595
2019-6-16,Fradique Coutinho,-23.5661,-46.6841,34262,19,43,55,2,41,43,43,12,REABASTECER,10606
2019-6-17,Fradique Coutinho,-23.5661,-46.6841,34816,10,39,49,43,35,42,39,10,REABASTECER,10607
2019-6-20,Fradique Coutinho,-23.5661,-46.6841,35536,68,18,28,38,24,29,25,41,NORMAL,10610
2019-6-25,Fradique Coutinho,-23.5661,-46.6841,36891,19,51,58,23,5,14,43,21,REABASTECER,10615
2019-7-3,Fradique Coutinho,-23.5661,-46.6841,33390,23,2,11,43,16,35,15,37,REABASTECER,10623
2019-7-9,Fradique Coutinho,-23.5661,-46.6841,33068,53,28,42,31,35,25,35,14,NORMAL,10629
2019-7-10,Fradique Coutinho,-23.5661,-46.6841,35583,40,19,34,27,33,22,32,8,NORMAL,10630
2019-7-13,Fradique Coutinho,-23.5661,-46.6841,35243,13,65,9,26,23,14,20,40,NORMAL,10633
2019-8-4,Fradique Coutinho,-23.5661,-46.6841,36284,68,65,4,40,27,20,20,16,REABASTECER,10654
2019-8-8,Fradique Coutinho,-23.5661,-46.6841,34189,31,29,47,28,17,8,7,43,NORMAL,10658
2019-8-25,Fradique Coutinho,-23.5661,-46.6841,35576,51,49,58,27,33,10,21,29,NORMAL,10675
2019-9-1,Fradique Coutinho,-23.5661,-46.6841,35058,74,24,14,11,14,34,43,43,NORMAL,10681
2019-9-30,Fradique Coutinho,-23.5661,-46.6841,36877,44,56,16,13,17,34,23,16,NORMAL,10710
2019-10-5,Fradique Coutinho,-23.5661,-46.6841,36712,86,18,56,34,40,24,6,43,REABASTECER,10715
2019-10-12,Fradique Coutinho,-23.5661,-46.6841,34566,17,51,3,21,14,43,19,14,NORMAL,10722
2019-10-18,Fradique Coutinho,-23.5661,-46.6841,35829,46,11,31,5,37,26,41,35,REABASTECER,10728
2019-10-21,Fradique Coutinho,-23.5661,-46.6841,36336,10,58,11,32,28,16,31,23,REABASTECER,10731
2019-10-29,Fradique Coutinho,-23.5661,-46.6841,35032,8,26,8,4,43,23,3,39,REABASTECER,10739
2019-11-2,Fradique Coutinho,-23.5661,-46.6841,33960,67,10,49,35,30,14,33,32,NORMAL,10742
2019-11-7,Fradique Coutinho,-23.5661,-46.6841,36121,19,50,15,26,11,43,11,11,NORMAL,10747
2019-11-10,Fradique Coutinho,-23.5661,-46.6841,33683,77,32,61,19,43,33,43,38,NORMAL,10750
2019-11-15,Fradique Coutinho,-23.5661,-46.6841,34372,26,58,27,41,24,16,22,16,NORMAL,10755
2019-11-16,Fradique Coutinho,-23.5661,-46.6841,35041,14,49,20,35,19,16,20,14,NORMAL,10756
2019-11-17,Fradique Coutinho,-23.5661,-46.6841,35654,6,39,16,29,17,13,17,9,NORMAL,10757
2019-12-3,Fradique Coutinho,-23.5661,-46.6841,36449,18,22,36,30,38,8,38,28,NORMAL,10773
2019-12-4,Fradique Coutinho,-23.5661,-46.6841,36098,9,17,29,26,36,6,33,25,NORMAL,10774
2019-12-18,Fradique Coutinho,-23.5661,-46.6841,33774,45,58,21,36,26,10,25,18,NORMAL,10788
2019-12-21,Fradique Coutinho,-23.5661,-46.6841,36703,23,38,65,29,12,7,12,6,REABASTECER,10791
2018-1-3,Luz,-23.5365,-46.6332,124472,67,46,47,43,31,39,35,34,NORMAL,10803
2018-1-4,Luz,-23.5365,-46.6332,127634,55,37,41,40,25,38,30,31,NORMAL,10804
2018-1-9,Luz,-23.5365,-46.6332,125351,6,0,3,24,6,23,10,7,REABASTECER,10809
2018-1-11,Luz,-23.5365,-46.6332,127492,79,59,60,17,37,17,43,43,NORMAL,10811
2018-2-7,Luz,-23.5365,-46.6332,126348,66,31,13,35,18,18,21,21,NORMAL,10837
2018-2-8,Luz,-23.5365,-46.6332,123902,53,29,3,35,15,17,16,19,REABASTECER,10838
2018-2-15,Luz,-23.5365,-46.6332,124870,75,57,15,6,24,29,35,31,REABASTECER,10845
2018-2-17,Luz,-23.5365,-46.6332,124258,58,39,65,37,14,28,28,27,NORMAL,10847
2018-2-21,Luz,-23.5365,-46.6332,124482,22,17,38,25,41,12,15,15,NORMAL,10851
2018-2-27,Luz,-23.5365,-46.6332,124244,53,46,60,13,12,40,34,31,NORMAL,10857
2018-3-11,Luz,-23.5365,-46.6332,124009,86,23,32,13,38,24,18,14,NORMAL,10871
2018-3-14,Luz,-23.5365,-46.6332,127506,51,4,14,43,29,14,4,4,NORMAL,10874
2018-4-6,Luz,-23.5365,-46.6332,126519,75,65,65,10,21,36,40,3,REABASTECER,10896
2018-4-27,Luz,-23.5365,-46.6332,127878,37,6,50,35,21,17,43,11,REABASTECER,10917
2018-4-29,Luz,-23.5365,-46.6332,126404,15,58,33,29,14,10,33,43,NORMAL,10919
2018-5-2,Luz,-23.5365,-46.6332,126401,73,41,11,25,43,3,18,31,REABASTECER,10922
2018-5-4,Luz,-23.5365,-46.6332,125932,56,32,65,20,32,41,11,26,NORMAL,10924
2018-5-6,Luz,-23.5365,-46.6332,127849,31,22,51,15,21,37,2,16,REABASTECER,10926
2018-5-16,Luz,-23.5365,-46.6332,126466,21,21,44,20,12,21,12,14,NORMAL,10936
2018-6-1,Luz,-23.5365,-46.6332,127330,60,12,7,12,31,7,5,33,NORMAL,10951
2018-6-4,Luz,-23.5365,-46.6332,125884,29,58,49,4,17,43,32,24,REABASTECER,10954
2018-6-28,Luz,-23.5365,-46.6332,126995,49,53,17,18,38,22,30,13,NORMAL,10978
2018-7-7,Luz,-23.5365,-46.6332,126408,51,58,8,30,9,3,36,22,NORMAL,10987
2018-7-16,Luz,-23.5365,-46.6332,126820,56,15,0,43,21,12,8,26,REABASTECER,10996
2018-7-22,Luz,-23.5365,-46.6332,124737,86,48,23,28,43,32,22,43,NORMAL,11002
2018-8-1,Luz,-23.5365,-46.6332,124660,86,54,8,43,7,10,24,43,REABASTECER,11011
2018-8-7,Luz,-23.5365,-46.6332,126274,24,12,30,23,32,34,3,19,REABASTECER,11017
2018-8-13,Luz,-23.5365,-46.6332,124014,48,38,48,43,43,19,32,39,NORMAL,11023
2018-8-15,Luz,-23.5365,-46.6332,127706,31,28,35,36,37,15,22,28,NORMAL,11025
2018-8-17,Luz,-23.5365,-46.6332,127096,7,16,21,28,29,10,18,22,NORMAL,11027
2018-9-5,Luz,-23.5365,-46.6332,125689,86,25,21,19,43,13,30,32,NORMAL,11045
2018-10-2,Luz,-23.5365,-46.6332,127072,75,37,22,36,14,24,11,43,NORMAL,11072
2018-10-4,Luz,-23.5365,-46.6332,126378,51,30,11,25,10,16,3,35,REABASTECER,11074
2018-10-8,Luz,-23.5365,-46.6332,124177,10,5,47,16,32,43,27,20,REABASTECER,11078
2018-10-15,Luz,-23.5365,-46.6332,124212,22,32,5,36,4,24,43,32,REABASTECER,11085
2018-11-7,Luz,-23.5365,-46.6332,124130,79,42,60,3,43,33,36,35,NORMAL,11107
2018-11-29,Luz,-23.5365,-46.6332,124179,25,37,33,8,11,16,32,25,NORMAL,11129
2018-12-8,Luz,-23.5365,-46.6332,125946,18,48,34,27,18,28,43,27,NORMAL,11138
2018-12-12,Luz,-23.5365,-46.6332,126536,69,23,3,13,43,19,25,9,REABASTECER,11142
2018-12-16,Luz,-23.5365,-46.6332,124075,32,59,45,43,29,7,9,36,NORMAL,11146
2018-12-20,Luz,-23.5365,-46.6332,126087,79,26,15,36,9,31,37,22,NORMAL,11150
2018-12-27,Luz,-23.5365,-46.6332,125472,12,49,24,13,19,7,9,35,NORMAL,11157
2019-1-6,Luz,-23.5365,-46.6332,125452,86,62,25,29,28,14,20,36,NORMAL,11166
2019-1-9,Luz,-23.5365,-46.6332,126598,58,48,3,24,16,2,7,22,NORMAL,11169
2019-1-10,Luz,-23.5365,-46.6332,125287,49,43,65,22,13,43,2,18,REABASTECER,11170
2019-1-25,Luz,-23.5365,-46.6332,125982,86,18,30,17,6,38,39,43,REABASTECER,11185
2019-1-26,Luz,-23.5365,-46.6332,125782,73,16,20,15,43,37,36,37,NORMAL,11186
2019-1-29,Luz,-23.5365,-46.6332,126666,48,56,65,7,33,25,24,22,NORMAL,11189
2019-2-15,Luz,-23.5365,-46.6332,125426,74,11,25,38,20,26,7,8,NORMAL,11205
2019-2-21,Luz,-23.5365,-46.6332,125711,10,38,45,21,37,9,27,29,REABASTECER,11211
2019-2-30,Luz,-23.5365,-46.6332,127350,86,42,54,39,4,22,39,33,REABASTECER,11220
2019-3-7,Luz,-23.5365,-46.6332,126982,17,57,65,27,17,3,8,3,NORMAL,11227
2019-3-19,Luz,-23.5365,-46.6332,124448,75,58,46,29,10,43,6,43,REABASTECER,11239
2019-4-1,Luz,-23.5365,-46.6332,126992,45,58,35,43,4,10,43,30,REABASTECER,11251
2019-4-8,Luz,-23.5365,-46.6332,126858,77,22,53,27,14,26,15,3,NORMAL,11258
2019-4-17,Luz,-23.5365,-46.6332,127030,74,36,59,43,27,36,19,11,NORMAL,11267
2019-5-16,Luz,-23.5365,-46.6332,127423,38,9,65,30,14,3,34,14,NORMAL,11296
2019-5-17,Luz,-23.5365,-46.6332,125802,31,65,61,29,8,43,30,10,NORMAL,11297
2019-5-21,Luz,-23.5365,-46.6332,125571,86,47,39,14,32,21,13,35,NORMAL,11301
2019-5-22,Luz,-23.5365,-46.6332,127254,79,45,32,12,27,19,11,31,NORMAL,11302
2019-6-3,Luz,-23.5365,-46.6332,126222,59,38,20,28,22,29,8,29,NORMAL,11313
2019-6-8,Luz,-23.5365,-46.6332,125434,6,65,55,18,5,11,32,13,NORMAL,11318
2019-6-14,Luz,-23.5365,-46.6332,127589,43,25,15,37,19,27,5,32,NORMAL,11324
2019-6-24,Luz,-23.5365,-46.6332,124779,27,37,11,11,21,32,5,34,NORMAL,11334
2019-7-21,Luz,-23.5365,-46.6332,127445,26,5,37,10,40,33,23,43,NORMAL,11361
2019-7-28,Luz,-23.5365,-46.6332,127573,46,31,54,30,13,18,37,16,NORMAL,11368
2019-8-3,Luz,-23.5365,-46.6332,125814,86,65,20,12,35,6,10,37,NORMAL,11373
2019-8-10,Luz,-23.5365,-46.6332,126010,9,35,39,36,4,14,23,5,NORMAL,11380
2019-8-17,Luz,-23.5365,-46.6332,125201,33,62,48,13,22,39,38,23,NORMAL,11387
2019-8-25,Luz,-23.5365,-46.6332,124957,48,24,53,30,29,8,9,31,NORMAL,11395
2019-8-28,Luz,-23.5365,-46.6332,125128,22,13,25,13,19,38,40,18,NORMAL,11398
2019-9-18,Luz,-23.5365,-46.6332,125986,86,41,11,22,19,32,18,14,NORMAL,11418
2019-10-19,Luz,-23.5365,-46.6332,125032,24,52,65,10,15,15,32,10,NORMAL,11449
2019-11-7,Luz,-23.5365,-46.6332,123889,38,27,24,41,26,39,5,28,NORMAL,11467
2019-11-11,Luz,-23.5365,-46.6332,126600,86,3,61,27,8,30,30,18,REABASTECER,11471
2019-11-15,Luz,-23.5365,-46.6332,124815,45,54,36,11,36,22,18,43,NORMAL,11475
2019-11-22,Luz,-23.5365,-46.6332,125710,68,18,52,30,10,41,31,6,REABASTECER,11482
2019-12-3,Luz,-23.5365,-46.6332,126089,44,7,35,40,6,43,26,3,REABASTECER,11493
2019-12-4,Luz,-23.5365,-46.6332,126649,33,65,27,36,43,38,21,43,NORMAL,11494
2019-12-8,Luz,-23.5365,-46.6332,125084,86,51,65,25,28,30,4,26,NORMAL,11498
2019-12-11,Luz,-23.5365,-46.6332,126897,62,41,51,18,18,19,34,11,NORMAL,11501
2019-12-14,Luz,-23.5365,-46.6332,123993,26,16,26,11,5,11,24,43,NORMAL,11504
2019-12-21,Luz,-23.5365,-46.6332,127816,48,48,32,28,21,32,39,19,NORMAL,11511
2019-12-25,Luz,-23.5365,-46.6332,125874,3,30,9,17,6,13,26,5,NORMAL,11515
2019-12-28,Luz,-23.5365,-46.6332,124930,63,7,49,4,36,6,17,35,REABASTECER,11518
2018-1-10,Ana Rosa,-23.5813,-46.6383,66543,86,6,65,20,43,26,43,5,NORMAL,11530
2018-1-12,Ana Rosa,-23.5813,-46.6383,65443,67,62,45,19,35,19,37,41,NORMAL,11532
2018-1-16,Ana Rosa,-23.5813,-46.6383,66096,23,40,24,43,18,6,17,25,REABASTECER,11536
2018-1-17,Ana Rosa,-23.5813,-46.6383,67215,15,30,16,37,16,43,13,23,NORMAL,11537
2018-1-28,Ana Rosa,-23.5813,-46.6383,63862,86,38,10,43,19,43,14,25,NORMAL,11548
2018-1-29,Ana Rosa,-23.5813,-46.6383,64467,76,30,3,39,17,43,8,22,REABASTECER,11549
2018-2-17,Ana Rosa,-23.5813,-46.6383,66283,77,36,65,28,25,33,30,3,NORMAL,11567
2018-2-20,Ana Rosa,-23.5813,-46.6383,64188,52,10,42,18,11,22,13,32,NORMAL,11570
2018-2-26,Ana Rosa,-23.5813,-46.6383,63841,86,35,2,43,27,2,30,6,NORMAL,11576
2018-2-29,Ana Rosa,-23.5813,-46.6383,63760,60,11,56,36,10,42,16,36,NORMAL,11579
2018-2-30,Ana Rosa,-23.5813,-46.6383,66501,47,4,52,35,8,41,14,30,REABASTECER,11580
2018-3-6,Ana Rosa,-23.5813,-46.6383,64073,77,36,9,21,26,32,32,8,NORMAL,11586
2018-3-18,Ana Rosa,-23.5813,-46.6383,66297,42,32,48,32,13,6,24,43,REABASTECER,11598
2018-3-29,Ana Rosa,-23.5813,-46.6383,67120,9,32,48,41,9,12,28,41,REABASTECER,11609
2018-4-3,Ana Rosa,-23.5813,-46.6383,64190,61,8,27,29,38,43,8,28,NORMAL,11613
2018-4-12,Ana Rosa,-23.5813,-46.6383,66286,58,17,39,43,35,16,18,29,NORMAL,11622
2018-5-2,Ana Rosa,-23.5813,-46.6383,66022,35,32,31,27,39,43,30,40,NORMAL,11642
2018-5-14,Ana Rosa,-23.5813,-46.6383,63829,86,13,5,31,26,2,28,41,REABASTECER,11654
2018-5-15,Ana Rosa,-23.5813,-46.6383,65009,73,8,65,27,23,43,22,36,NORMAL,11655
2018-5-17,Ana Rosa,-23.5813,-46.6383,65357,53,63,48,20,13,34,12,27,NORMAL,11657
2018-5-21,Ana Rosa,-23.5813,-46.6383,65267,12,31,20,7,38,19,35,14,NORMAL,11661
2018-5-29,Ana Rosa,-23.5813,-46.6383,67636,14,57,30,24,8,43,43,19,NORMAL,11669
2018-6-17,Ana Rosa,-23.5813,-46.6383,67229,17,17,45,9,24,37,11,30,NORMAL,11687
2018-6-21,Ana Rosa,-23.5813,-46.6383,66170,70,62,21,43,9,23,39,17,NORMAL,11691
2018-6-24,Ana Rosa,-23.5813,-46.6383,67257,41,51,65,40,40,13,28,4,REABASTECER,11694
2018-7-6,Ana Rosa,-23.5813,-46.6383,67325,8,45,42,7,33,21,29,43,NORMAL,11706
2018-7-8,Ana Rosa,-23.5813,-46.6383,65259,79,34,23,43,27,12,25,38,NORMAL,11708
2018-7-14,Ana Rosa,-23.5813,-46.6383,64581,22,59,39,32,8,37,38,14,NORMAL,11714
2018-7-21,Ana Rosa,-23.5813,-46.6383,65893,34,24,60,15,20,17,7,28,NORMAL,11721
2018-8-5,Ana Rosa,-23.5813,-46.6383,66925,68,58,33,25,6,26,28,8,NORMAL,11735
2018-8-18,Ana Rosa,-23.5813,-46.6383,66529,37,50,25,24,40,27,17,7,NORMAL,11748
2018-8-21,Ana Rosa,-23.5813,-46.6383,66692,7,34,4,20,29,20,10,38,NORMAL,11751
2018-8-23,Ana Rosa,-23.5813,-46.6383,65600,73,19,58,12,24,19,43,27,NORMAL,11753
2018-8-27,Ana Rosa,-23.5813,-46.6383,66539,33,59,36,43,11,6,29,12,NORMAL,11757
2018-8-30,Ana Rosa,-23.5813,-46.6383,64816,4,37,14,36,38,38,17,37,REABASTECER,11760
2018-9-7,Ana Rosa,-23.5813,-46.6383,65014,31,60,32,23,12,21,26,7,NORMAL,11767
2018-9-8,Ana Rosa,-23.5813,-46.6383,67614,22,53,22,21,8,15,24,3,REABASTECER,11768
2018-9-25,Ana Rosa,-23.5813,-46.6383,67237,31,17,26,17,20,35,43,24,NORMAL,11785
2018-9-30,Ana Rosa,-23.5813,-46.6383,66563,79,55,49,39,41,19,32,3,REABASTECER,11790
2018-10-9,Ana Rosa,-23.5813,-46.6383,64079,86,65,40,13,43,30,40,11,NORMAL,11799
2018-10-18,Ana Rosa,-23.5813,-46.6383,65374,0,28,43,31,6,30,43,19,NORMAL,11808
2018-10-20,Ana Rosa,-23.5813,-46.6383,64382,74,20,24,26,37,26,35,12,NORMAL,11810
2018-11-2,Ana Rosa,-23.5813,-46.6383,66226,35,18,8,37,27,23,36,7,REABASTECER,11822
2018-11-18,Ana Rosa,-23.5813,-46.6383,66079,66,51,33,36,4,19,20,32,REABASTECER,11838
2018-11-19,Ana Rosa,-23.5813,-46.6383,65182,54,49,26,30,43,17,16,30,NORMAL,11839
2018-11-25,Ana Rosa,-23.5813,-46.6383,64995,76,18,40,17,24,10,41,4,REABASTECER,11845
2018-12-6,Ana Rosa,-23.5813,-46.6383,66791,57,30,31,40,13,17,34,4,REABASTECER,11856
2018-12-12,Ana Rosa,-23.5813,-46.6383,65597,86,56,56,13,28,37,17,26,NORMAL,11862
2018-12-17,Ana Rosa,-23.5813,-46.6383,64258,38,27,24,43,4,25,43,3,REABASTECER,11867
2018-12-19,Ana Rosa,-23.5813,-46.6383,63722,20,18,13,41,41,17,33,37,NORMAL,11869
2018-12-21,Ana Rosa,-23.5813,-46.6383,64063,2,2,65,37,29,7,25,29,NORMAL,11871
